"","Dlr.Code","Tehsil","Model.Enquired","DSE","Enq.Type","Status","Status_der"
"1",262001,63,100,1,2,4,"0"
"2",262001,173,170,1,1,7,"0"
"16",262001,63,151,1,1,7,"0"
"29",262001,147,165,1,2,5,"0"
"39",262001,152,144,1,1,7,"0"
"46",262001,107,92,102,2,4,"0"
"53",262001,107,87,102,2,4,"0"
"59",262001,145,87,102,2,4,"0"
"64",262001,107,87,102,2,4,"0"
"69",262001,107,173,102,2,4,"0"
"76",262001,107,150,102,2,4,"0"
"85",262001,107,150,102,1,7,"0"
"99",262001,107,97,102,2,4,"0"
"106",262001,107,106,102,2,4,"0"
"113",262001,107,94,102,2,4,"0"
"119",262001,107,87,102,2,4,"0"
"125",262001,107,91,102,2,4,"0"
"132",262001,3,173,102,1,7,"0"
"146",262001,107,166,102,2,3,"1"
"147",262001,107,173,102,2,4,"0"
"156",262001,107,158,102,1,7,"0"
"166",262001,107,152,102,1,7,"0"
"176",262001,107,151,102,1,7,"0"
"187",262001,107,124,102,1,7,"0"
"197",262001,38,99,102,1,7,"0"
"208",262001,145,154,102,2,4,"0"
"214",262001,107,105,102,2,4,"0"
"222",262001,145,135,102,1,7,"0"
"234",262001,145,111,102,2,4,"0"
"240",262001,145,135,102,2,4,"0"
"246",262001,38,91,102,1,7,"0"
"257",262001,145,135,102,2,4,"0"
"263",262001,145,135,102,2,4,"0"
"269",262001,145,135,102,2,4,"0"
"275",262001,38,154,102,1,7,"0"
"287",262001,116,158,102,1,7,"0"
"299",262001,38,99,102,1,7,"0"
"310",262001,38,98,102,1,7,"0"
"322",262001,107,101,102,1,7,"0"
"333",262001,145,173,102,2,4,"0"
"340",262001,116,173,102,1,7,"0"
"352",262001,107,87,102,2,4,"0"
"360",262001,145,87,102,2,4,"0"
"366",262001,107,97,102,1,7,"0"
"376",262001,107,127,102,1,7,"0"
"387",262001,107,110,102,1,7,"0"
"398",262001,107,153,102,1,7,"0"
"408",262001,107,126,102,1,7,"0"
"419",262001,107,113,102,1,7,"0"
"429",262001,107,120,102,1,7,"0"
"438",262001,107,131,102,1,7,"0"
"448",262001,107,100,102,2,4,"0"
"453",262001,107,99,102,2,4,"0"
"457",262001,145,114,102,1,7,"0"
"468",262001,107,114,102,2,4,"0"
"472",262001,107,172,102,2,4,"0"
"476",262001,107,172,102,2,4,"0"
"480",262001,213,110,102,1,7,"0"
"493",262001,107,131,102,1,7,"0"
"503",262001,107,99,102,1,7,"0"
"514",262001,107,98,102,2,4,"0"
"518",262001,107,121,102,2,4,"0"
"522",262001,38,173,102,1,7,"0"
"533",262001,145,173,102,2,4,"0"
"534",262001,107,173,102,1,7,"0"
"544",262001,145,173,102,2,4,"0"
"550",262001,38,120,102,1,7,"0"
"562",262001,38,173,102,1,7,"0"
"574",262001,38,104,102,1,7,"0"
"586",262001,145,91,102,2,4,"0"
"587",262001,107,166,102,2,4,"0"
"589",262001,107,95,102,2,4,"0"
"591",262001,145,170,102,2,4,"0"
"593",262001,145,170,102,2,4,"0"
"595",262001,107,96,102,2,4,"0"
"597",262001,107,152,102,1,7,"0"
"604",262001,107,173,102,2,4,"0"
"606",262001,107,121,102,2,4,"0"
"608",262001,107,121,102,1,7,"0"
"618",262001,145,166,102,2,4,"0"
"620",262001,145,133,102,2,4,"0"
"622",262001,107,121,102,2,4,"0"
"627",262001,145,100,102,2,4,"0"
"629",262001,107,158,102,1,7,"0"
"638",262001,145,166,102,2,4,"0"
"640",262001,145,166,102,2,4,"0"
"641",262001,107,95,102,2,4,"0"
"642",262001,107,151,102,1,7,"0"
"649",262001,107,121,102,2,4,"0"
"651",262001,145,152,102,2,4,"0"
"653",262001,107,90,102,1,7,"0"
"661",262001,3,122,102,1,7,"0"
"671",262001,107,95,102,1,7,"0"
"680",262001,107,122,102,1,7,"0"
"689",262001,145,166,102,1,7,"0"
"697",262001,107,170,102,1,7,"0"
"705",262001,145,40,102,1,7,"0"
"713",262001,145,149,102,2,4,"0"
"715",262001,3,40,102,1,7,"0"
"725",262001,3,156,102,1,7,"0"
"733",262001,3,166,102,2,4,"0"
"736",262001,107,122,102,2,4,"0"
"740",262001,107,96,102,2,4,"0"
"744",262001,107,173,102,2,3,"1"
"746",262001,107,173,102,2,4,"0"
"751",262001,107,121,102,2,4,"0"
"752",262001,107,22,102,1,7,"0"
"763",262001,107,40,102,2,4,"0"
"764",262001,213,173,102,2,4,"0"
"768",262001,107,22,102,2,4,"0"
"771",262001,107,173,102,1,7,"0"
"781",262001,107,131,102,2,4,"0"
"786",262001,107,98,102,1,7,"0"
"796",262001,107,114,102,1,7,"0"
"807",262001,107,100,102,1,7,"0"
"818",262001,107,173,102,1,7,"0"
"830",262001,107,22,102,2,4,"0"
"831",262001,107,144,102,2,4,"0"
"833",262001,30,122,102,2,4,"0"
"838",262001,107,31,102,2,4,"0"
"842",262001,107,158,102,2,4,"0"
"843",262001,107,149,102,2,4,"0"
"847",262001,3,121,102,2,4,"0"
"850",262001,3,133,102,2,4,"0"
"853",262001,3,166,102,1,7,"0"
"862",262001,3,122,102,2,4,"0"
"865",262001,3,141,102,1,7,"0"
"874",262001,3,166,102,1,7,"0"
"882",262001,3,174,102,2,4,"0"
"885",262001,3,133,102,1,7,"0"
"896",262001,3,141,102,2,4,"0"
"899",262001,3,166,102,1,7,"0"
"907",262001,3,175,102,2,4,"0"
"910",262001,3,133,102,2,4,"0"
"913",262001,3,172,102,1,7,"0"
"921",262001,3,166,102,2,4,"0"
"924",262001,3,171,102,1,7,"0"
"933",262001,3,156,102,2,4,"0"
"936",262001,3,141,102,1,7,"0"
"944",262001,107,121,102,2,4,"0"
"948",262001,107,41,102,2,4,"0"
"953",262001,107,112,102,2,4,"0"
"959",262001,3,121,102,1,7,"0"
"968",262001,3,141,102,2,4,"0"
"971",262001,3,122,102,2,4,"0"
"974",262001,3,96,102,1,7,"0"
"982",262001,3,122,102,1,7,"0"
"991",262001,3,172,102,2,4,"0"
"994",262001,3,133,102,1,7,"0"
"1002",262001,3,171,102,1,7,"0"
"1010",262001,3,156,102,1,7,"0"
"1017",262001,3,141,102,1,7,"0"
"1026",262001,3,133,102,1,7,"0"
"1033",262001,3,170,102,1,7,"0"
"1041",262001,3,141,102,1,7,"0"
"1049",262001,3,172,102,1,7,"0"
"1058",262001,3,173,102,2,4,"0"
"1064",262001,38,112,102,1,7,"0"
"1071",262001,107,95,102,1,7,"0"
"1080",262001,107,95,102,2,4,"0"
"1082",262001,107,166,102,2,4,"0"
"1084",262001,145,100,102,2,4,"0"
"1086",262001,107,31,102,2,4,"0"
"1088",262001,107,151,102,1,7,"0"
"1095",262001,107,112,102,2,4,"0"
"1096",262001,145,100,102,2,4,"0"
"1097",262001,107,112,102,2,4,"0"
"1099",262001,107,96,102,1,7,"0"
"1109",262001,107,173,102,2,4,"0"
"1111",262001,107,173,102,1,7,"0"
"1118",262001,145,95,102,1,7,"0"
"1127",262001,107,173,102,1,7,"0"
"1139",262001,107,157,102,2,4,"0"
"1141",262001,107,96,102,1,7,"0"
"1148",262001,107,122,102,2,4,"0"
"1150",262001,107,96,102,1,7,"0"
"1158",262001,107,100,102,2,4,"0"
"1160",262001,107,173,102,2,4,"0"
"1162",262001,107,158,102,2,4,"0"
"1164",262001,107,170,102,2,4,"0"
"1166",262001,107,100,102,1,7,"0"
"1174",262001,3,28,400,2,4,"0"
"1176",262001,3,148,400,1,7,"0"
"1187",262001,145,173,400,2,3,"1"
"1191",262001,3,87,400,1,7,"0"
"1205",262001,3,103,400,1,7,"0"
"1218",262001,3,97,400,1,7,"0"
"1230",262001,3,95,400,2,4,"0"
"1242",262001,3,95,400,1,7,"0"
"1255",262001,3,93,400,2,4,"0"
"1257",262001,154,108,400,2,4,"0"
"1264",262001,154,93,400,2,4,"0"
"1273",262001,154,173,400,2,4,"0"
"1282",262001,3,89,400,2,4,"0"
"1295",262001,3,90,400,1,7,"0"
"1308",262001,3,122,400,1,7,"0"
"1321",262001,3,112,400,1,7,"0"
"1338",262001,3,101,400,1,7,"0"
"1349",262001,213,93,400,2,4,"0"
"1361",262001,3,29,400,2,4,"0"
"1363",262001,179,99,400,1,7,"0"
"1374",262001,154,115,400,1,7,"0"
"1385",262001,213,101,400,1,7,"0"
"1399",262001,116,107,400,1,7,"0"
"1411",262001,179,110,400,2,4,"0"
"1412",262001,213,87,400,1,7,"0"
"1423",262001,3,91,400,1,7,"0"
"1435",262001,154,28,400,1,7,"0"
"1447",262001,3,46,400,1,7,"0"
"1460",262001,179,31,400,1,7,"0"
"1471",262001,179,124,400,2,4,"0"
"1483",262001,145,121,400,2,3,"1"
"1485",262001,154,151,400,1,7,"0"
"1497",262001,3,32,400,1,7,"0"
"1510",262001,116,102,400,2,4,"0"
"1516",262001,116,124,400,2,4,"0"
"1522",262001,179,98,400,1,7,"0"
"1533",262001,3,153,400,1,7,"0"
"1546",262001,3,104,400,1,7,"0"
"1560",262001,145,126,400,1,7,"0"
"1569",262001,145,152,400,2,4,"0"
"1578",262001,154,113,400,1,7,"0"
"1589",262001,179,130,400,1,7,"0"
"1601",262001,154,124,400,1,7,"0"
"1612",262001,154,155,400,1,7,"0"
"1625",262001,145,159,400,1,7,"0"
"1636",262001,145,152,400,1,7,"0"
"1646",262001,145,140,400,1,7,"0"
"1656",262001,145,129,400,1,7,"0"
"1667",262001,154,45,400,2,4,"0"
"1677",262001,30,117,400,2,4,"0"
"1682",262001,3,102,400,1,7,"0"
"1693",262001,179,104,400,2,4,"0"
"1699",262001,179,113,400,2,4,"0"
"1704",262001,145,173,400,1,7,"0"
"1717",262001,179,101,400,2,4,"0"
"1723",262001,145,99,400,2,4,"0"
"1727",262001,145,95,400,1,7,"0"
"1738",262001,145,151,400,2,4,"0"
"1744",262001,145,97,400,2,4,"0"
"1749",262001,145,114,400,2,4,"0"
"1754",262001,145,97,400,2,4,"0"
"1758",262001,145,99,400,2,4,"0"
"1763",262001,145,99,400,2,4,"0"
"1769",262001,145,130,400,2,4,"0"
"1775",262001,145,141,400,2,4,"0"
"1779",262001,145,152,400,2,4,"0"
"1783",262001,145,151,400,2,4,"0"
"1788",262001,145,173,400,2,4,"0"
"1793",262001,145,99,400,2,4,"0"
"1797",262001,145,114,400,2,4,"0"
"1801",262001,116,157,400,1,7,"0"
"1811",262001,154,173,400,1,7,"0"
"1819",262001,116,122,400,2,4,"0"
"1820",262001,145,98,400,2,4,"0"
"1825",262001,154,98,400,1,7,"0"
"1837",262001,179,132,400,1,7,"0"
"1849",262001,145,157,400,1,7,"0"
"1859",262001,145,151,400,1,7,"0"
"1868",262001,145,138,400,1,7,"0"
"1878",262001,3,124,400,1,7,"0"
"1889",262001,154,97,400,1,7,"0"
"1899",262001,3,94,400,1,7,"0"
"1910",262001,3,173,400,1,7,"0"
"1920",262001,179,166,400,1,7,"0"
"1930",262001,154,173,400,1,7,"0"
"1940",262001,145,130,400,2,4,"0"
"1946",262001,145,100,400,2,4,"0"
"1950",262001,145,156,400,2,4,"0"
"1954",262001,145,122,400,1,7,"0"
"1964",262001,145,154,400,1,7,"0"
"1974",262001,145,99,400,2,4,"0"
"1979",262001,145,151,400,2,4,"0"
"1985",262001,145,156,400,2,4,"0"
"1989",262001,154,119,400,1,7,"0"
"2000",262001,213,121,400,2,4,"0"
"2005",262001,179,103,400,2,4,"0"
"2011",262001,179,93,400,1,7,"0"
"2022",262001,30,101,400,2,4,"0"
"2027",262001,154,20,400,2,4,"0"
"2035",262001,30,128,400,2,4,"0"
"2040",262001,116,32,400,1,7,"0"
"2051",262001,30,128,400,2,4,"0"
"2058",262001,179,103,400,2,4,"0"
"2064",262001,38,107,400,2,4,"0"
"2069",262001,154,119,400,2,4,"0"
"2072",262001,38,98,400,2,4,"0"
"2078",262001,154,102,400,2,4,"0"
"2084",262001,154,100,400,2,4,"0"
"2089",262001,154,116,400,2,4,"0"
"2100",262001,38,31,400,1,7,"0"
"2111",262001,3,102,400,1,7,"0"
"2125",262001,3,100,400,1,7,"0"
"2137",262001,30,166,400,1,7,"0"
"2147",262001,38,51,400,1,7,"0"
"2159",262001,154,134,400,1,7,"0"
"2171",262001,30,101,400,2,4,"0"
"2176",262001,154,46,400,2,4,"0"
"2186",262001,3,148,400,1,7,"0"
"2196",262001,30,172,400,1,7,"0"
"2207",262001,30,169,400,2,3,"1"
"2212",262001,30,102,400,2,4,"0"
"2217",262001,145,114,400,2,3,"1"
"2220",262001,30,125,400,1,7,"0"
"2232",262001,116,23,400,2,4,"0"
"2234",262001,145,33,400,1,7,"0"
"2246",262001,154,30,400,2,4,"0"
"2248",262001,3,156,400,2,3,"1"
"2252",262001,154,28,400,2,4,"0"
"2263",262001,30,122,400,1,7,"0"
"2274",262001,3,90,400,1,7,"0"
"2283",262001,3,90,400,2,4,"0"
"2286",262001,3,112,400,2,4,"0"
"2291",262001,154,156,400,1,7,"0"
"2298",262001,145,144,400,1,7,"0"
"2305",262001,145,166,400,1,7,"0"
"2311",262001,3,173,400,1,7,"0"
"2318",262001,154,173,400,1,7,"0"
"2325",262001,154,121,400,1,7,"0"
"2333",262001,154,95,400,1,7,"0"
"2340",262001,154,121,400,1,7,"0"
"2347",262001,145,173,400,2,4,"0"
"2349",262001,3,173,400,1,7,"0"
"2356",262001,3,95,400,2,4,"0"
"2359",262001,3,166,400,2,4,"0"
"2361",262001,3,173,400,1,7,"0"
"2368",262001,3,31,400,1,7,"0"
"2378",262001,3,95,400,2,4,"0"
"2380",262001,3,121,400,1,7,"0"
"2388",262001,3,166,400,1,7,"0"
"2396",262001,3,96,400,2,4,"0"
"2398",262001,145,157,400,1,7,"0"
"2405",262001,3,112,400,2,4,"0"
"2407",262001,3,95,400,1,7,"0"
"2415",262001,3,171,400,1,7,"0"
"2423",262001,3,96,400,1,7,"0"
"2430",262001,3,96,400,2,4,"0"
"2432",262001,145,144,400,2,4,"0"
"2434",262001,3,174,400,2,4,"0"
"2436",262001,145,112,400,2,4,"0"
"2438",262001,145,166,400,2,4,"0"
"2440",262001,3,166,400,2,4,"0"
"2442",262001,3,122,400,1,7,"0"
"2449",262001,3,157,400,1,7,"0"
"2457",262001,145,112,400,1,7,"0"
"2464",262001,3,95,400,1,7,"0"
"2472",262001,3,152,400,2,4,"0"
"2474",262001,3,121,400,2,4,"0"
"2476",262001,3,173,400,2,4,"0"
"2478",262001,3,166,400,2,4,"0"
"2480",262001,3,151,400,1,7,"0"
"2489",262001,3,100,400,2,4,"0"
"2491",262001,3,122,400,2,4,"0"
"2493",262001,3,166,400,1,7,"0"
"2502",262001,3,144,400,2,4,"0"
"2503",262001,3,173,400,1,7,"0"
"2512",262001,145,173,400,2,4,"0"
"2514",262001,3,122,400,1,7,"0"
"2521",262001,3,141,400,2,4,"0"
"2523",262001,3,122,400,2,4,"0"
"2525",262001,3,157,400,2,4,"0"
"2527",262001,3,167,400,1,7,"0"
"2534",262001,3,41,400,1,7,"0"
"2542",262001,3,82,400,1,7,"0"
"2552",262001,3,169,400,1,7,"0"
"2560",262001,3,165,400,1,7,"0"
"2568",262001,107,133,400,2,4,"0"
"2569",262001,3,96,400,1,7,"0"
"2579",262001,3,121,400,2,4,"0"
"2585",262001,154,133,400,1,7,"0"
"2593",262001,3,40,400,1,7,"0"
"2601",262001,3,22,400,1,7,"0"
"2610",262001,3,90,400,1,7,"0"
"2619",262001,3,141,400,1,7,"0"
"2628",262001,3,144,400,1,7,"0"
"2636",262001,154,144,400,1,7,"0"
"2644",262001,3,152,400,1,7,"0"
"2653",262001,3,166,400,1,7,"0"
"2662",262001,145,125,400,2,4,"0"
"2667",262001,145,97,400,2,4,"0"
"2672",262001,3,27,400,1,7,"0"
"2680",262001,154,122,400,1,7,"0"
"2690",262001,3,166,400,1,7,"0"
"2701",262001,116,152,400,1,7,"0"
"2712",262001,3,166,400,1,7,"0"
"2722",262001,154,40,400,1,7,"0"
"2730",262001,179,31,400,1,7,"0"
"2739",262001,3,40,400,1,7,"0"
"2749",262001,3,40,400,1,7,"0"
"2759",262001,3,152,400,1,7,"0"
"2769",262001,154,166,400,1,7,"0"
"2779",262001,3,156,400,1,7,"0"
"2789",262001,154,96,400,1,7,"0"
"2799",262001,3,121,400,1,7,"0"
"2808",262001,154,122,400,1,7,"0"
"2818",262001,107,172,400,2,4,"0"
"2823",262001,3,121,400,2,4,"0"
"2826",262001,3,90,400,2,4,"0"
"2829",262001,154,166,400,2,4,"0"
"2834",262001,154,95,400,2,4,"0"
"2835",262001,3,169,400,1,7,"0"
"2842",262001,3,166,400,1,7,"0"
"2850",262001,3,156,400,2,4,"0"
"2853",262001,3,171,400,1,7,"0"
"2862",262001,3,151,400,1,7,"0"
"2872",262001,3,170,400,1,7,"0"
"2881",262001,3,152,400,1,7,"0"
"2889",262001,3,173,400,1,7,"0"
"2897",262001,3,170,400,1,7,"0"
"2905",262001,3,122,400,2,4,"0"
"2908",262001,3,166,400,2,4,"0"
"2911",262001,3,133,400,2,4,"0"
"2915",262001,3,152,400,1,7,"0"
"2923",262001,3,175,400,1,7,"0"
"2931",262001,3,149,400,1,7,"0"
"2939",262001,3,166,400,2,4,"0"
"2943",262001,154,96,400,2,4,"0"
"2948",262001,154,144,400,2,4,"0"
"2953",262001,3,173,400,2,4,"0"
"2958",262001,154,156,400,2,4,"0"
"2959",262001,154,40,400,2,4,"0"
"2960",262001,154,156,400,2,4,"0"
"2964",262001,145,173,400,2,4,"0"
"2965",262001,145,166,400,1,7,"0"
"2975",262001,154,156,400,1,7,"0"
"2987",262001,3,122,400,1,7,"0"
"2995",262001,116,122,400,1,7,"0"
"3003",262001,3,133,400,1,7,"0"
"3012",262001,3,141,400,1,7,"0"
"3020",262001,154,166,400,1,7,"0"
"3028",262001,3,122,400,1,7,"0"
"3037",262001,3,31,400,1,7,"0"
"3047",262001,3,166,400,1,7,"0"
"3057",262001,3,82,400,1,7,"0"
"3067",262001,154,95,400,1,7,"0"
"3076",262001,145,40,400,1,7,"0"
"3086",262001,3,141,400,1,7,"0"
"3095",262001,154,95,400,1,7,"0"
"3104",262001,3,133,400,1,7,"0"
"3114",262001,3,40,400,1,7,"0"
"3128",262001,213,166,400,1,7,"0"
"3136",262001,3,121,400,1,7,"0"
"3144",262001,145,135,422,1,7,"0"
"3160",262001,213,99,422,1,7,"0"
"3172",262001,213,98,422,2,4,"0"
"3177",262001,107,102,422,2,4,"0"
"3182",262001,213,91,422,2,4,"0"
"3187",262001,213,151,422,2,4,"0"
"3193",262001,213,118,422,2,4,"0"
"3199",262001,213,96,422,2,4,"0"
"3205",262001,213,87,422,2,4,"0"
"3212",262001,213,87,422,2,4,"0"
"3218",262001,107,100,422,1,7,"0"
"3229",262001,107,93,422,1,7,"0"
"3243",262001,107,90,422,1,7,"0"
"3259",262001,213,92,422,2,4,"0"
"3264",262001,107,105,422,1,7,"0"
"3276",262001,38,173,422,2,4,"0"
"3282",262001,30,173,422,2,4,"0"
"3287",262001,145,143,422,2,3,"1"
"3290",262001,145,172,422,2,4,"0"
"3295",262001,145,172,422,2,4,"0"
"3300",262001,145,124,422,2,4,"0"
"3305",262001,107,108,422,1,7,"0"
"3318",262001,107,93,422,1,7,"0"
"3330",262001,107,175,422,1,7,"0"
"3342",262001,107,173,422,2,4,"0"
"3348",262001,145,156,422,2,4,"0"
"3359",262001,30,96,422,1,7,"0"
"3371",262001,38,174,422,1,7,"0"
"3386",262001,38,173,422,2,4,"0"
"3393",262001,145,98,422,2,4,"0"
"3398",262001,145,120,422,2,4,"0"
"3404",262001,107,114,422,1,7,"0"
"3418",262001,30,166,422,2,4,"0"
"3424",262001,213,172,422,1,7,"0"
"3436",262001,213,172,422,1,7,"0"
"3450",262001,38,173,422,2,4,"0"
"3457",262001,30,113,422,1,7,"0"
"3474",262001,30,8,422,1,7,"0"
"3486",262001,30,101,422,1,7,"0"
"3499",262001,30,173,422,2,4,"0"
"3501",262001,38,173,422,2,4,"0"
"3507",262001,145,166,422,2,4,"0"
"3513",262001,38,173,422,2,4,"0"
"3514",262001,30,173,422,2,4,"0"
"3516",262001,107,139,422,1,7,"0"
"3526",262001,107,97,422,1,7,"0"
"3538",262001,107,110,422,1,7,"0"
"3550",262001,107,127,422,1,7,"0"
"3560",262001,3,94,422,1,7,"0"
"3571",262001,107,151,422,1,7,"0"
"3581",262001,107,109,422,1,7,"0"
"3591",262001,3,96,422,1,7,"0"
"3601",262001,107,124,422,1,7,"0"
"3612",262001,107,99,422,1,7,"0"
"3623",262001,107,173,422,2,5,"0"
"3624",262001,3,95,422,1,7,"0"
"3635",262001,3,133,422,1,7,"0"
"3646",262001,3,121,422,2,4,"0"
"3648",262001,3,152,422,1,7,"0"
"3658",262001,30,152,422,1,7,"0"
"3668",262001,107,100,422,1,7,"0"
"3678",262001,3,154,422,1,7,"0"
"3689",262001,30,170,422,1,7,"0"
"3699",262001,107,99,422,1,7,"0"
"3708",262001,107,100,422,1,7,"0"
"3718",262001,107,22,422,2,3,"1"
"3728",262001,3,99,422,2,5,"0"
"3729",262001,30,170,422,1,7,"0"
"3738",262001,107,114,422,1,7,"0"
"3749",262001,107,154,422,1,7,"0"
"3758",262001,38,152,422,1,7,"0"
"3768",262001,30,99,422,1,7,"0"
"3781",262001,30,173,422,1,7,"0"
"3791",262001,107,22,422,2,4,"0"
"3792",262001,107,100,422,2,4,"0"
"3793",262001,107,100,422,2,4,"0"
"3796",262001,107,121,422,1,7,"0"
"3803",262001,107,96,422,2,4,"0"
"3806",262001,107,121,422,2,4,"0"
"3808",262001,107,90,422,1,7,"0"
"3818",262001,107,144,422,1,7,"0"
"3826",262001,107,112,422,1,7,"0"
"3834",262001,107,95,422,1,7,"0"
"3842",262001,107,166,422,1,7,"0"
"3851",262001,107,141,422,1,7,"0"
"3858",262001,107,133,422,1,7,"0"
"3866",262001,107,157,422,1,7,"0"
"3874",262001,107,83,422,1,7,"0"
"3884",262001,116,31,422,1,7,"0"
"3893",262001,107,165,422,1,7,"0"
"3902",262001,107,31,422,2,4,"0"
"3910",262001,107,31,422,1,7,"0"
"3919",262001,107,31,422,2,5,"0"
"3927",262001,107,112,422,1,7,"0"
"3935",262001,107,141,422,1,7,"0"
"3943",262001,107,31,422,1,7,"0"
"3953",262001,107,166,422,1,7,"0"
"3964",262001,107,166,422,2,4,"0"
"3969",262001,107,40,422,2,4,"0"
"3974",262001,107,166,422,2,4,"0"
"3979",262001,107,122,422,1,7,"0"
"3988",262001,107,95,422,1,7,"0"
"3996",262001,107,166,422,1,7,"0"
"4003",262001,107,173,422,2,4,"0"
"4008",262001,107,152,422,2,4,"0"
"4011",262001,107,174,422,2,4,"0"
"4012",262001,107,133,422,2,4,"0"
"4015",262001,107,166,422,2,4,"0"
"4018",262001,107,141,422,2,4,"0"
"4021",262001,107,172,422,1,7,"0"
"4029",262001,107,95,422,2,4,"0"
"4032",262001,116,133,422,1,7,"0"
"4040",262001,107,112,422,1,7,"0"
"4047",262001,107,151,422,1,7,"0"
"4057",262001,107,40,422,1,7,"0"
"4065",262001,107,133,422,1,7,"0"
"4073",262001,116,40,422,1,7,"0"
"4081",262001,116,31,422,2,4,"0"
"4089",262001,107,22,422,1,7,"0"
"4099",262001,107,122,422,1,7,"0"
"4108",262001,116,141,422,1,7,"0"
"4116",262001,107,90,422,1,7,"0"
"4124",262001,107,121,422,1,7,"0"
"4132",262001,107,122,422,1,7,"0"
"4140",262001,107,156,422,1,7,"0"
"4148",262001,107,152,422,2,4,"0"
"4153",262001,107,122,422,2,4,"0"
"4159",262001,107,141,422,2,4,"0"
"4160",262001,107,166,422,1,7,"0"
"4169",262001,107,173,422,1,7,"0"
"4180",262001,107,121,422,1,7,"0"
"4188",262001,107,156,422,2,4,"0"
"4193",262001,107,121,422,2,4,"0"
"4198",262001,107,133,422,2,4,"0"
"4201",262001,107,172,422,2,4,"0"
"4204",262001,107,158,422,2,4,"0"
"4207",262001,38,173,422,1,7,"0"
"4217",262001,30,114,422,1,7,"0"
"4227",262001,38,114,422,1,7,"0"
"4237",262001,38,99,422,1,7,"0"
"4250",262001,38,173,422,1,7,"0"
"4260",262001,38,114,422,1,7,"0"
"4270",262001,30,97,422,1,7,"0"
"4280",262001,30,100,422,1,7,"0"
"4293",262001,38,100,422,2,3,"1"
"4295",262001,107,175,422,1,7,"0"
"4306",262001,107,175,422,2,4,"0"
"4308",262001,107,100,422,2,4,"0"
"4312",262001,107,166,422,2,4,"0"
"4314",262001,107,22,422,2,4,"0"
"4315",262001,107,166,422,2,4,"0"
"4317",262001,107,100,422,1,7,"0"
"4325",262001,213,133,422,1,7,"0"
"4332",262001,107,166,422,2,4,"0"
"4337",262001,107,173,422,1,7,"0"
"4348",262001,107,166,422,2,4,"0"
"4350",262001,107,121,422,2,4,"0"
"4352",262001,107,166,422,2,4,"0"
"4353",262001,154,95,292,1,7,"0"
"4363",262001,145,90,292,2,4,"0"
"4364",262001,145,22,292,2,4,"0"
"4366",262001,116,96,292,1,7,"0"
"4377",262001,145,112,292,2,4,"0"
"4380",262001,145,112,292,1,7,"0"
"4387",262001,145,122,292,2,4,"0"
"4389",262001,116,122,292,2,4,"0"
"4392",262001,116,169,292,1,7,"0"
"4400",262001,116,166,292,2,4,"0"
"4403",262001,116,95,292,2,4,"0"
"4406",262001,116,90,292,2,4,"0"
"4409",262001,116,171,292,1,7,"0"
"4417",262001,116,121,292,2,4,"0"
"4420",262001,116,174,292,2,4,"0"
"4423",262001,116,141,292,2,4,"0"
"4426",262001,116,157,292,2,4,"0"
"4429",262001,107,121,292,2,4,"0"
"4433",262001,116,166,292,2,4,"0"
"4436",262001,116,133,292,2,4,"0"
"4439",262001,116,156,292,2,4,"0"
"4442",262001,116,172,292,2,4,"0"
"4445",262001,107,175,292,2,4,"0"
"4449",262001,116,173,292,2,4,"0"
"4452",262001,145,112,292,1,7,"0"
"4459",262001,116,149,292,1,7,"0"
"4469",262001,116,166,292,1,7,"0"
"4480",262001,116,166,292,1,7,"0"
"4490",262001,116,144,292,2,4,"0"
"4493",262001,116,166,292,2,4,"0"
"4496",262001,107,31,292,2,4,"0"
"4501",262001,116,82,292,1,7,"0"
"4511",262001,116,31,292,1,7,"0"
"4521",262001,116,40,292,1,7,"0"
"4531",262001,116,152,292,2,4,"0"
"4534",262001,116,170,292,2,4,"0"
"4537",262001,38,156,292,2,4,"0"
"4542",262001,116,82,292,2,4,"0"
"4547",262001,107,31,292,2,4,"0"
"4551",262001,116,40,292,1,7,"0"
"4560",262001,116,152,292,2,4,"0"
"4563",262001,116,166,292,2,4,"0"
"4566",262001,116,173,292,1,7,"0"
"4574",262001,116,121,292,1,7,"0"
"4583",262001,145,166,292,2,4,"0"
"4585",262001,145,100,292,1,7,"0"
"4592",262001,116,40,292,1,7,"0"
"4602",262001,116,31,292,1,7,"0"
"4611",262001,116,83,292,1,7,"0"
"4620",262001,116,22,292,1,7,"0"
"4630",262001,145,133,292,1,7,"0"
"4640",262001,145,133,292,1,7,"0"
"4648",262001,107,95,292,1,7,"0"
"4656",262001,116,121,292,2,4,"0"
"4659",262001,116,100,292,2,4,"0"
"4662",262001,145,157,292,2,4,"0"
"4664",262001,145,100,292,1,7,"0"
"4672",262001,145,144,292,2,4,"0"
"4674",262001,145,166,292,2,4,"0"
"4676",262001,145,100,292,2,4,"0"
"4678",262001,145,100,292,2,4,"0"
"4679",262001,145,141,292,2,4,"0"
"4681",262001,145,144,292,2,4,"0"
"4683",262001,145,173,292,2,4,"0"
"4685",262001,145,144,292,1,7,"0"
"4692",262001,145,170,292,2,4,"0"
"4694",262001,145,166,292,1,7,"0"
"4703",262001,145,166,292,2,4,"0"
"4706",262001,116,172,292,1,7,"0"
"4716",262001,145,144,292,2,4,"0"
"4718",262001,145,173,292,1,7,"0"
